x,y,z
-0.08,-0.076,0
-0.072,-0.069,0
-0.0705,-0.066,0
-0.0705,-0.063,0
-0.0705,-0.06,0
-0.0705,-0.057,0
-0.0705,-0.054,0
-0.0705,-0.051,0
-0.0705,-0.048,0
-0.0705,-0.045,0
-0.0705,-0.042,0
-0.0705,-0.039,0
-0.0705,-0.036,0
-0.0705,-0.033,0
-0.0705,-0.03,0
-0.0705,-0.027,0
-0.0705,-0.024,0
-0.0705,-0.021,0
-0.0705,-0.018,0
-0.0705,-0.015,0
-0.0705,-0.012,0
-0.0705,-0.009,0
-0.0705,-0.006,0
-0.0705,-0.003,0
-0.0705,0,0
-0.0705,0.003,0
-0.0705,0.006,0
-0.0705,0.009,0
-0.0705,0.012,0
-0.0705,0.015,0
-0.0705,0.018,0
-0.0705,0.021,0
-0.0705,0.024,0
-0.0705,0.027,0
-0.0705,0.03,0
-0.0705,0.033,0
-0.0705,0.036,0
-0.0705,0.039,0
-0.0705,0.042,0
-0.0705,0.045,0
-0.0705,0.048,0
-0.0705,0.051,0
-0.0705,0.054,0
-0.0705,0.057,0
-0.0705,0.06,0
-0.0705,0.063,0
-0.0705,0.066,0
-0.072,0.069,0
0.072,-0.069,0
0.0705,-0.066,0
0.0705,-0.063,0
0.0705,-0.06,0
0.0705,-0.057,0
0.0705,-0.054,0
0.0705,-0.051,0
0.0705,-0.048,0
0.0705,-0.045,0
0.0705,-0.042,0
0.0705,-0.039,0
0.0705,-0.036,0
0.0705,-0.033,0
0.0705,-0.03,0
0.0705,-0.027,0
0.0705,-0.024,0
0.0705,-0.021,0
0.0705,-0.018,0
0.0705,-0.015,0
0.0705,-0.012,0
0.0705,-0.009,0
0.0705,-0.006,0
0.0705,-0.003,0
0.0705,0,0
0.0705,0.003,0
0.0705,0.006,0
0.0705,0.009,0
0.0705,0.012,0
0.0705,0.015,0
0.0705,0.018,0
0.0705,0.021,0
0.0705,0.024,0
0.0705,0.027,0
0.0705,0.03,0
0.0705,0.033,0
0.0705,0.036,0
0.0705,0.039,0
0.0705,0.042,0
0.0705,0.045,0
0.0705,0.048,0
0.0705,0.051,0
0.0705,0.054,0
0.0705,0.057,0
0.0705,0.06,0
0.0705,0.063,0
0.0705,0.066,0
0.072,0.069,0
0.08,0.076,0
